idMouvement,dateMouvement,descriptionCompte,nomBanque,nomTiers,nomCategorie,nomSousCategorie,montant
2018,2022-11-10,Compte 1,Banque B,Impôts,Impôts,,-1258.74
2427,2022-11-11,Compte 2,Banque A,Divers,Divers,,-21.02
1943,2022-11-11,Compte 2,Banque A,Entreprise C,Salaire,,2653.52
500,2022-11-11,Compte 3,Banque C,Orange,Téléphone,,-47.12
603,2022-11-12,Compte 2,Banque A,DAB,Retrait,,-297.32
2841,2022-11-13,Compte 1,Banque B,Cinéma,Loisir,,-89.58
76,2022-11-13,Compte 3,Banque C,Bouygues,Téléphone,,-30.8
2371,2022-11-14,Compte 2,Banque A,Bowling,Loisir,,-72.79
1571,2022-11-14,Compte 3,Banque C,Mutuelle,Remboursement,,132.02
2665,2022-11-15,Compte 2,Banque A,Truffaut,Animaux,,-64.73
1750,2022-11-15,Compte 2,Banque A,SNCF,Transport,,-16.84
1302,2022-11-15,Compte 1,Banque B,Fnac,Cadeau,,-191.75
2235,2022-11-15,Compte 2,Banque A,Uber,Transport,,-75.5
285,2022-11-15,Compte 1,Banque B,DAB,Retrait,,-188.63
539,2022-11-15,Compte 2,Banque A,Airbnb,Vacances,,-271.18
819,2022-11-16,Compte 1,Banque B,SNCF,Transport,,-26.54
335,2022-11-16,Compte 2,Banque A,Livret A,Épargne,,410.61
1663,2022-11-16,Compte 1,Banque B,Airbnb,Vacances,,-635.45
2823,2022-11-16,Compte 3,Banque C,AXA,Assurance,,-78.45
1134,2022-11-18,Compte 1,Banque B,Divers,Divers,,-40.2
774,2022-11-18,Compte 1,Banque B,AXA,Assurance,,-82.86
505,2022-11-18,Compte 2,Banque A,H&M,Vêtements,,-65.92
1047,2022-11-18,Compte 1,Banque B,Lidl,Alimentation,,-34.28
754,2022-11-19,Compte 1,Banque B,DAB,Retrait,,-173.72
1888,2022-11-19,Compte 1,Banque B,JouetClub,Enfants,,-100.4
1621,2022-11-19,Compte 1,Banque B,DAB,Retrait,,-276.56
1405,2022-11-19,Compte 1,Banque B,Uber,Transport,,-68.47
592,2022-11-19,Compte 2,Banque A,PEL,Épargne,,136.69
432,2022-11-19,Compte 3,Banque C,DAB,Retrait,,-227.07
2873,2022-11-20,Compte 2,Banque A,Banque Postale,Frais bancaires,,-18.22
1766,2022-11-20,Compte 1,Banque B,Bouygues,Téléphone,,-27.9
490,2022-11-20,Compte 1,Banque B,Fnac,Cadeau,,-149.61
2409,2022-11-20,Compte 1,Banque B,Entreprise A,Salaire,,2953.37
2332,2022-11-22,Compte 3,Banque C,AXA,Assurance,,-57.74
1001,2022-11-23,Compte 1,Banque B,Mutuelle,Remboursement,,147.47
1534,2022-11-23,Compte 1,Banque B,H&M,Vêtements,,-82.11
845,2022-11-23,Compte 3,Banque C,DAB,Retrait,,-284.82
1725,2022-11-23,Compte 3,Banque C,Orange,Internet,,-34.85
257,2022-11-23,Compte 1,Banque B,Fnac,Cadeau,,-192.93
650,2022-11-24,Compte 1,Banque B,Hôpital,Santé,,-72.63
2939,2022-11-24,Compte 1,Banque B,Lidl,Alimentation,,-54.08
248,2022-11-25,Compte 1,Banque B,Animalis,Animaux,,-67.23
928,2022-11-25,Compte 3,Banque C,Doctolib,Santé,,-120.38
686,2022-11-25,Compte 2,Banque A,Netflix,Loisir,,-34.62
1350,2022-11-26,Compte 3,Banque C,Impôts,Impôts,,-1369.59
1558,2022-11-26,Compte 3,Banque C,Zara,Vêtements,,-167.32
128,2022-11-26,Compte 2,Banque A,H&M,Vêtements,,-203.49
2403,2022-11-27,Compte 1,Banque B,Banque Postale,Frais bancaires,,-15.56
313,2022-11-27,Compte 1,Banque B,MAIF,Assurance,,-38.54
2618,2022-11-27,Compte 2,Banque A,Fnac,Cadeau,,-48.77
2565,2022-11-28,Compte 3,Banque C,JouetClub,Enfants,,-122.95
2330,2022-11-28,Compte 1,Banque B,Divers,Divers,,-26.82
828,2022-11-28,Compte 2,Banque A,Orchestra,Enfants,,-100.75
453,2022-11-29,Compte 2,Banque A,Divers,Divers,,-22.3
2400,2022-11-29,Compte 3,Banque C,DAB,Retrait,,-281.14
639,2022-11-29,Compte 1,Banque B,Amazon,Cadeau,,-151.21
2226,2022-11-29,Compte 3,Banque C,Divers,Divers,,-78.08
75,2022-11-29,Compte 2,Banque A,Hôpital,Santé,,-102.76
825,2022-11-29,Compte 3,Banque C,Entreprise C,Salaire,,2909.55
1327,2022-11-30,Compte 2,Banque A,Hôpital,Santé,,-141.48
2855,2022-11-30,Compte 3,Banque C,Zara,Vêtements,,-248.5
1936,2022-12-01,Compte 1,Banque B,Impôts,Impôts,,-1329.74
717,2022-12-02,Compte 3,Banque C,Impôts,Impôts,,-1582.39
1479,2022-12-03,Compte 1,Banque B,Spotify,Loisir,,-56.32
597,2022-12-03,Compte 2,Banque A,Allianz,Assurance,,-86.76
1454,2022-12-03,Compte 3,Banque C,Hôpital,Santé,,-148.44
113,2022-12-03,Compte 1,Banque B,Entreprise B,Salaire,,2485.8
2123,2022-12-04,Compte 1,Banque B,Booking,Vacances,,-488.05
2438,2022-12-04,Compte 1,Banque B,DAB,Retrait,,-194.55
98,2022-12-04,Compte 3,Banque C,MAIF,Assurance,,-65.57
2946,2022-12-05,Compte 1,Banque B,Impôts,Impôts,,-842.42
106,2022-12-06,Compte 3,Banque C,Bouygues,Téléphone,,-26.3
1843,2022-12-06,Compte 2,Banque A,H&M,Vêtements,,-62.83
959,2022-12-06,Compte 1,Banque B,Uniqlo,Vêtements,,-183.5
64,2022-12-06,Compte 3,Banque C,Uniqlo,Vêtements,,-85.15
498,2022-12-06,Compte 2,Banque A,Airbnb,Vacances,,-105.02
2156,2022-12-07,Compte 3,Banque C,PEL,Épargne,,321.56
2423,2022-12-07,Compte 1,Banque B,SFR,Téléphone,,-14.55
1158,2022-12-07,Compte 2,Banque A,Truffaut,Animaux,,-72.58
2719,2022-12-07,Compte 1,Banque B,Intermarché,Alimentation,,-66.8
835,2022-12-07,Compte 2,Banque A,Mutuelle,Remboursement,,171.83
1399,2022-12-07,Compte 3,Banque C,Orange,Internet,,-20.78
2419,2022-12-08,Compte 3,Banque C,Animalis,Animaux,,-59.79
2384,2022-12-08,Compte 3,Banque C,Impôts,Impôts,,-1643.31
266,2022-12-08,Compte 2,Banque A,PEL,Épargne,,388.73
733,2022-12-09,Compte 1,Banque B,MAIF,Assurance,,-54.63
307,2022-12-09,Compte 3,Banque C,Lidl,Alimentation,,-162.35
219,2022-12-09,Compte 1,Banque B,SFR,Téléphone,,-43.52
2559,2022-12-09,Compte 3,Banque C,Free,Internet,,-53.99
521,2022-12-09,Compte 2,Banque A,Airbnb,Vacances,,-1192.6
700,2022-12-09,Compte 2,Banque A,Loyer,Logement,,-419.0
1669,2022-12-09,Compte 2,Banque A,Uniqlo,Vêtements,,-159.88
1021,2022-12-10,Compte 1,Banque B,Allianz,Assurance,,-22.81
657,2022-12-10,Compte 3,Banque C,Uniqlo,Vêtements,,-213.83
38,2022-12-10,Compte 3,Banque C,Intermarché,Alimentation,,-164.42
1412,2022-12-10,Compte 2,Banque A,H&M,Vêtements,,-150.79
1429,2022-12-10,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-18.9
1428,2022-12-11,Compte 2,Banque A,Cinéma,Loisir,,-55.3
430,2022-12-11,Compte 1,Banque B,SNCF,Transport,,-28.51
918,2022-12-11,Compte 2,Banque A,Blablacar,Transport,,-19.6
557,2022-12-11,Compte 2,Banque A,Hôpital,Santé,,-75.74
1739,2022-12-11,Compte 2,Banque A,Bowling,Loisir,,-98.09
2898,2022-12-12,Compte 3,Banque C,Livret A,Épargne,,292.64
1375,2022-12-12,Compte 2,Banque A,Truffaut,Animaux,,-24.67
685,2022-12-12,Compte 2,Banque A,Uniqlo,Vêtements,,-227.44
503,2022-12-13,Compte 3,Banque C,Impôts,Impôts,,-999.62
13,2022-12-13,Compte 2,Banque A,Lidl,Alimentation,,-175.8
1715,2022-12-14,Compte 3,Banque C,Zara,Vêtements,,-175.31
2568,2022-12-14,Compte 3,Banque C,Doctolib,Santé,,-79.4
2118,2022-12-15,Compte 2,Banque A,Bowling,Loisir,,-12.22
290,2022-12-15,Compte 3,Banque C,Allianz,Assurance,,-41.38
2296,2022-12-16,Compte 2,Banque A,Impôts,Impôts,,-650.0
1050,2022-12-16,Compte 1,Banque B,Livret A,Épargne,,333.19
385,2022-12-16,Compte 1,Banque B,Mutuelle,Remboursement,,165.11
1264,2022-12-16,Compte 2,Banque A,DAB,Retrait,,-209.21
1886,2022-12-16,Compte 3,Banque C,Expedia,Vacances,,-884.69
807,2022-12-16,Compte 1,Banque B,AXA,Assurance,,-67.51
1019,2022-12-16,Compte 3,Banque C,Bouygues,Téléphone,,-32.66
1622,2022-12-17,Compte 3,Banque C,Impôts,Impôts,,-516.96
410,2022-12-17,Compte 2,Banque A,EDF,Logement,,-827.7
941,2022-12-17,Compte 1,Banque B,SFR,Internet,,-35.69
2000,2022-12-18,Compte 3,Banque C,Expedia,Vacances,,-588.34
1687,2022-12-18,Compte 2,Banque A,SFR,Internet,,-22.05
2842,2022-12-18,Compte 2,Banque A,Blablacar,Transport,,-32.89
1929,2022-12-18,Compte 2,Banque A,Pharmacie,Santé,,-124.02
190,2022-12-18,Compte 3,Banque C,MAIF,Assurance,,-109.29
1011,2022-12-18,Compte 1,Banque B,Orchestra,Enfants,,-133.73
2356,2022-12-19,Compte 3,Banque C,DAB,Retrait,,-217.64
2180,2022-12-19,Compte 1,Banque B,Uber,Transport,,-7.39
2295,2022-12-19,Compte 3,Banque C,Livret A,Épargne,,259.87
663,2022-12-19,Compte 2,Banque A,EDF,Logement,,-721.55
2435,2022-12-19,Compte 2,Banque A,DAB,Retrait,,-133.65
272,2022-12-20,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-7.92
2346,2022-12-20,Compte 3,Banque C,H&M,Vêtements,,-19.6
2360,2022-12-21,Compte 3,Banque C,Mutuelle,Remboursement,,177.64
514,2022-12-21,Compte 2,Banque A,Orange,Téléphone,,-35.82
1646,2022-12-21,Compte 2,Banque A,SFR,Internet,,-59.64
80,2022-12-22,Compte 1,Banque B,Free,Internet,,-50.04
470,2022-12-22,Compte 1,Banque B,PEL,Épargne,,125.91
1959,2022-12-22,Compte 3,Banque C,Truffaut,Animaux,,-75.85
2041,2022-12-22,Compte 3,Banque C,Loyer,Logement,,-892.24
355,2022-12-22,Compte 1,Banque B,Truffaut,Animaux,,-67.34
1247,2022-12-23,Compte 2,Banque A,DAB,Retrait,,-116.15
671,2022-12-23,Compte 2,Banque A,Mutuelle,Remboursement,,11.39
2734,2022-12-23,Compte 2,Banque A,Banque Postale,Frais bancaires,,-7.35
2229,2022-12-23,Compte 2,Banque A,Bouygues,Téléphone,,-43.77
1547,2022-12-23,Compte 3,Banque C,Carrefour,Alimentation,,-47.45
1623,2022-12-23,Compte 3,Banque C,Uber,Transport,,-9.47
143,2022-12-23,Compte 1,Banque B,Engie,Logement,,-561.32
2300,2022-12-25,Compte 3,Banque C,Doctolib,Santé,,-108.05
1909,2022-12-25,Compte 2,Banque A,Uber,Transport,,-65.15
2176,2022-12-25,Compte 3,Banque C,Orange,Internet,,-52.26
2921,2022-12-26,Compte 1,Banque B,JouetClub,Enfants,,-34.84
2808,2022-12-27,Compte 3,Banque C,DAB,Retrait,,-244.71
177,2022-12-27,Compte 1,Banque B,SFR,Internet,,-43.76
922,2022-12-27,Compte 3,Banque C,Animalis,Animaux,,-84.08
198,2022-12-28,Compte 2,Banque A,Airbnb,Vacances,,-309.6
120,2022-12-28,Compte 3,Banque C,MAIF,Assurance,,-109.82
2307,2022-12-28,Compte 2,Banque A,Spotify,Loisir,,-75.05
247,2022-12-28,Compte 2,Banque A,Lidl,Alimentation,,-120.33
1694,2022-12-29,Compte 1,Banque B,Pharmacie,Santé,,-55.44
2865,2022-12-29,Compte 1,Banque B,Zara,Vêtements,,-49.93
1928,2022-12-29,Compte 1,Banque B,Pharmacie,Santé,,-130.22
502,2022-12-30,Compte 1,Banque B,Airbnb,Vacances,,-778.4
916,2022-12-30,Compte 2,Banque A,Hôpital,Santé,,-75.61
989,2022-12-30,Compte 2,Banque A,DAB,Retrait,,-291.98
607,2022-12-31,Compte 2,Banque A,Doctolib,Santé,,-114.83
1220,2022-12-31,Compte 2,Banque A,Entreprise C,Salaire,,2813.85
2746,2023-01-01,Compte 3,Banque C,Spotify,Loisir,,-85.45
494,2023-01-01,Compte 2,Banque A,MAIF,Assurance,,-59.41
642,2023-01-02,Compte 3,Banque C,Zalando,Cadeau,,-146.26
2259,2023-01-02,Compte 2,Banque A,H&M,Vêtements,,-143.24
919,2023-01-03,Compte 2,Banque A,Animalis,Animaux,,-81.23
1487,2023-01-03,Compte 1,Banque B,Auchan,Alimentation,,-179.76
2362,2023-01-03,Compte 3,Banque C,Orange,Internet,,-34.84
1874,2023-01-04,Compte 1,Banque B,PEL,Épargne,,290.69
2949,2023-01-04,Compte 1,Banque B,Orange,Téléphone,,-47.99
2778,2023-01-04,Compte 2,Banque A,Hôpital,Santé,,-91.44
23,2023-01-05,Compte 2,Banque A,DAB,Retrait,,-82.69
591,2023-01-05,Compte 2,Banque A,Intermarché,Alimentation,,-80.75
1448,2023-01-05,Compte 3,Banque C,Doctolib,Santé,,-35.47
2039,2023-01-05,Compte 2,Banque A,AXA,Assurance,,-24.86
917,2023-01-06,Compte 3,Banque C,Mutuelle,Remboursement,,139.37
2642,2023-01-06,Compte 2,Banque A,MAIF,Assurance,,-38.0
311,2023-01-06,Compte 2,Banque A,Uber,Transport,,-66.47
1440,2023-01-07,Compte 3,Banque C,Impôts,Impôts,,-1454.77
130,2023-01-07,Compte 1,Banque B,Divers,Divers,,-24.29
1529,2023-01-07,Compte 1,Banque B,Uniqlo,Vêtements,,-217.27
173,2023-01-08,Compte 1,Banque B,CPAM,Remboursement,,108.83
656,2023-01-09,Compte 1,Banque B,Bowling,Loisir,,-62.2
2507,2023-01-09,Compte 3,Banque C,Expedia,Vacances,,-1099.43
2605,2023-01-10,Compte 3,Banque C,Crédit Agricole,Frais bancaires,,-6.86
2954,2023-01-10,Compte 2,Banque A,Fnac,Cadeau,,-21.81
2160,2023-01-11,Compte 1,Banque B,Lidl,Alimentation,,-119.13
1791,2023-01-11,Compte 1,Banque B,Orchestra,Enfants,,-109.49
1321,2023-01-11,Compte 1,Banque B,Blablacar,Transport,,-61.65
1918,2023-01-11,Compte 1,Banque B,Livret A,Épargne,,196.9
2674,2023-01-12,Compte 2,Banque A,Mutuelle,Remboursement,,22.62
601,2023-01-12,Compte 3,Banque C,Divers,Divers,,-99.81
2089,2023-01-12,Compte 2,Banque A,Divers,Divers,,-78.15
2925,2023-01-13,Compte 3,Banque C,Truffaut,Animaux,,-45.28
433,2023-01-13,Compte 1,Banque B,Fnac,Cadeau,,-82.24
1897,2023-01-14,Compte 3,Banque C,Animalis,Animaux,,-56.73
2777,2023-01-14,Compte 1,Banque B,Intermarché,Alimentation,,-74.45
1811,2023-01-14,Compte 1,Banque B,Auchan,Alimentation,,-83.97
1699,2023-01-14,Compte 2,Banque A,DAB,Retrait,,-221.22
2331,2023-01-14,Compte 3,Banque C,Loyer,Logement,,-422.18
2357,2023-01-14,Compte 2,Banque A,Expedia,Vacances,,-766.72
2869,2023-01-15,Compte 2,Banque A,Bouygues,Téléphone,,-21.4
1819,2023-01-15,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-18.24
2749,2023-01-15,Compte 3,Banque C,Auchan,Alimentation,,-40.1
126,2023-01-15,Compte 3,Banque C,Bouygues,Téléphone,,-12.13
429,2023-01-17,Compte 3,Banque C,Auchan,Alimentation,,-179.52
146,2023-01-17,Compte 1,Banque B,SNCF,Transport,,-21.24
1207,2023-01-17,Compte 1,Banque B,EDF,Logement,,-627.0
1387,2023-01-18,Compte 2,Banque A,Free,Internet,,-58.66
1635,2023-01-18,Compte 3,Banque C,Cinéma,Loisir,,-63.78
2750,2023-01-18,Compte 1,Banque B,Orange,Téléphone,,-21.48
371,2023-01-19,Compte 2,Banque A,DAB,Retrait,,-49.89
2504,2023-01-19,Compte 3,Banque C,Booking,Vacances,,-197.84
887,2023-01-20,Compte 2,Banque A,Banque Postale,Frais bancaires,,-9.19
292,2023-01-20,Compte 3,Banque C,Zalando,Cadeau,,-160.57
456,2023-01-20,Compte 3,Banque C,Banque Postale,Frais bancaires,,-6.93
2497,2023-01-21,Compte 3,Banque C,Fnac,Cadeau,,-192.62
684,2023-01-21,Compte 2,Banque A,URSSAF,Impôts,,-1991.83
165,2023-01-22,Compte 3,Banque C,CPAM,Remboursement,,175.65
1253,2023-01-22,Compte 3,Banque C,Uber,Transport,,-51.79
1453,2023-01-22,Compte 1,Banque B,PEL,Épargne,,496.06
1490,2023-01-23,Compte 2,Banque A,DAB,Retrait,,-195.01
573,2023-01-23,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-16.06
1975,2023-01-23,Compte 1,Banque B,Carrefour,Alimentation,,-152.51
2680,2023-01-24,Compte 2,Banque A,Airbnb,Vacances,,-460.82
1318,2023-01-24,Compte 1,Banque B,Expedia,Vacances,,-694.47
148,2023-01-24,Compte 2,Banque A,Zalando,Cadeau,,-191.26
2607,2023-01-25,Compte 3,Banque C,Amazon,Cadeau,,-58.57
2248,2023-01-25,Compte 3,Banque C,Impôts,Impôts,,-818.27
1323,2023-01-25,Compte 2,Banque A,Airbnb,Vacances,,-691.5
2304,2023-01-27,Compte 3,Banque C,Crédit Agricole,Frais bancaires,,-8.77
2754,2023-01-27,Compte 1,Banque B,Bouygues,Téléphone,,-25.17
2228,2023-01-27,Compte 2,Banque A,Livret A,Épargne,,69.83
837,2023-01-28,Compte 3,Banque C,SFR,Internet,,-22.92
2522,2023-01-28,Compte 3,Banque C,CPAM,Remboursement,,142.06
2710,2023-01-28,Compte 1,Banque B,Banque Postale,Frais bancaires,,-6.73
2093,2023-01-28,Compte 3,Banque C,Hôpital,Santé,,-72.7
131,2023-01-28,Compte 3,Banque C,Amazon,Cadeau,,-142.35
2223,2023-01-29,Compte 1,Banque B,Orchestra,Enfants,,-35.59
2904,2023-01-29,Compte 1,Banque B,Orange,Téléphone,,-15.36
1140,2023-01-30,Compte 3,Banque C,SNCF,Transport,,-34.82
2692,2023-01-30,Compte 1,Banque B,Hôpital,Santé,,-79.87
1640,2023-01-31,Compte 3,Banque C,Animalis,Animaux,,-37.88
188,2023-01-31,Compte 1,Banque B,Pharmacie,Santé,,-92.85
2661,2023-01-31,Compte 2,Banque A,Carrefour,Alimentation,,-165.22
2150,2023-01-31,Compte 1,Banque B,Mutuelle,Remboursement,,205.44
184,2023-01-31,Compte 3,Banque C,Zara,Vêtements,,-224.68
1964,2023-01-31,Compte 2,Banque A,Booking,Vacances,,-670.75
2145,2023-01-31,Compte 1,Banque B,Airbnb,Vacances,,-903.31
1583,2023-02-01,Compte 1,Banque B,CPAM,Remboursement,,137.85
1822,2023-02-01,Compte 2,Banque A,PEL,Épargne,,127.19
1077,2023-02-01,Compte 3,Banque C,Animalis,Animaux,,-76.34
2942,2023-02-01,Compte 3,Banque C,Impôts,Impôts,,-1545.68
778,2023-02-01,Compte 3,Banque C,Impôts,Impôts,,-200.67
2977,2023-02-01,Compte 2,Banque A,Orchestra,Enfants,,-10.21
1590,2023-02-01,Compte 1,Banque B,Amazon,Cadeau,,-184.92
242,2023-02-03,Compte 3,Banque C,Amazon,Cadeau,,-114.05
1411,2023-02-03,Compte 2,Banque A,URSSAF,Impôts,,-776.13
159,2023-02-04,Compte 3,Banque C,SNCF,Transport,,-74.77
509,2023-02-04,Compte 1,Banque B,Airbnb,Vacances,,-449.99
2859,2023-02-05,Compte 1,Banque B,CPAM,Remboursement,,225.66
2487,2023-02-05,Compte 2,Banque A,Truffaut,Animaux,,-60.54
2428,2023-02-06,Compte 3,Banque C,Bowling,Loisir,,-82.15
841,2023-02-07,Compte 3,Banque C,Entreprise A,Salaire,,2580.57
745,2023-02-07,Compte 3,Banque C,Carrefour,Alimentation,,-46.95
1346,2023-02-07,Compte 1,Banque B,Entreprise A,Salaire,,2558.59
850,2023-02-08,Compte 1,Banque B,Livret A,Épargne,,404.55
404,2023-02-08,Compte 2,Banque A,DAB,Retrait,,-209.73
2170,2023-02-08,Compte 1,Banque B,H&M,Vêtements,,-202.91
2258,2023-02-08,Compte 3,Banque C,Amazon,Cadeau,,-68.86
911,2023-02-08,Compte 2,Banque A,Orange,Internet,,-20.88
1820,2023-02-09,Compte 2,Banque A,Orange,Téléphone,,-21.83
2566,2023-02-09,Compte 3,Banque C,Lidl,Alimentation,,-174.19
783,2023-02-10,Compte 3,Banque C,Entreprise B,Salaire,,2770.59
2290,2023-02-10,Compte 1,Banque B,Hôpital,Santé,,-122.35
2132,2023-02-10,Compte 3,Banque C,Bowling,Loisir,,-59.91
2776,2023-02-11,Compte 1,Banque B,Fnac,Cadeau,,-101.58
998,2023-02-11,Compte 2,Banque A,Orange,Internet,,-32.13
787,2023-02-12,Compte 3,Banque C,Carrefour,Alimentation,,-66.44
245,2023-02-14,Compte 3,Banque C,SNCF,Transport,,-52.48
1222,2023-02-14,Compte 3,Banque C,Divers,Divers,,-65.91
2817,2023-02-14,Compte 2,Banque A,Entreprise A,Salaire,,2977.82
1127,2023-02-14,Compte 2,Banque A,Zara,Vêtements,,-166.24
883,2023-02-14,Compte 2,Banque A,Orange,Téléphone,,-39.09
2851,2023-02-15,Compte 2,Banque A,Livret A,Épargne,,287.05
309,2023-02-15,Compte 2,Banque A,Animalis,Animaux,,-41.27
799,2023-02-18,Compte 3,Banque C,Allianz,Assurance,,-97.13
2681,2023-02-18,Compte 2,Banque A,AXA,Assurance,,-100.4
2375,2023-02-18,Compte 2,Banque A,Orchestra,Enfants,,-34.82
2184,2023-02-18,Compte 1,Banque B,Truffaut,Animaux,,-34.67
2389,2023-02-19,Compte 2,Banque A,Lidl,Alimentation,,-176.91
2858,2023-02-19,Compte 1,Banque B,Banque Postale,Frais bancaires,,-12.58
2866,2023-02-20,Compte 3,Banque C,AXA,Assurance,,-97.05
454,2023-02-21,Compte 1,Banque B,Netflix,Loisir,,-26.47
746,2023-02-22,Compte 1,Banque B,Divers,Divers,,-63.19
2140,2023-02-22,Compte 1,Banque B,Fnac,Cadeau,,-31.65
667,2023-02-22,Compte 2,Banque A,Hôpital,Santé,,-45.25
1211,2023-02-24,Compte 1,Banque B,Auchan,Alimentation,,-126.16
2080,2023-02-24,Compte 1,Banque B,Divers,Divers,,-16.74
820,2023-02-25,Compte 3,Banque C,Amazon,Cadeau,,-175.79
327,2023-02-25,Compte 3,Banque C,H&M,Vêtements,,-92.83
1174,2023-02-25,Compte 2,Banque A,Hôpital,Santé,,-52.2
2325,2023-02-25,Compte 3,Banque C,EDF,Logement,,-502.19
1269,2023-02-26,Compte 2,Banque A,Engie,Logement,,-681.26
2303,2023-02-26,Compte 2,Banque A,DAB,Retrait,,-38.25
1724,2023-02-27,Compte 3,Banque C,Livret A,Épargne,,179.58
522,2023-02-27,Compte 2,Banque A,Pharmacie,Santé,,-120.17
967,2023-02-27,Compte 3,Banque C,Banque Postale,Frais bancaires,,-10.41
1089,2023-02-27,Compte 1,Banque B,CPAM,Remboursement,,37.98
2199,2023-02-28,Compte 3,Banque C,Animalis,Animaux,,-84.0
951,2023-02-28,Compte 2,Banque A,Uber,Transport,,-79.53
2096,2023-02-28,Compte 2,Banque A,JouetClub,Enfants,,-29.62
1502,2023-02-28,Compte 3,Banque C,Crédit Agricole,Frais bancaires,,-10.28
244,2023-03-01,Compte 3,Banque C,H&M,Vêtements,,-137.54
2506,2023-03-01,Compte 2,Banque A,Cinéma,Loisir,,-58.66
540,2023-03-02,Compte 3,Banque C,Pharmacie,Santé,,-80.02
1632,2023-03-03,Compte 1,Banque B,Uniqlo,Vêtements,,-247.45
2900,2023-03-03,Compte 3,Banque C,Loyer,Logement,,-471.15
1067,2023-03-03,Compte 1,Banque B,URSSAF,Impôts,,-373.63
1985,2023-03-03,Compte 3,Banque C,SFR,Téléphone,,-34.73
2627,2023-03-04,Compte 1,Banque B,Orange,Internet,,-45.44
1203,2023-03-04,Compte 1,Banque B,Animalis,Animaux,,-44.16
692,2023-03-04,Compte 3,Banque C,Loyer,Logement,,-543.99
2592,2023-03-04,Compte 1,Banque B,Uniqlo,Vêtements,,-201.99
2269,2023-03-04,Compte 3,Banque C,SNCF,Transport,,-34.67
2863,2023-03-04,Compte 2,Banque A,DAB,Retrait,,-39.84
868,2023-03-04,Compte 3,Banque C,Uniqlo,Vêtements,,-142.53
2894,2023-03-04,Compte 3,Banque C,Zara,Vêtements,,-163.93
1442,2023-03-04,Compte 3,Banque C,AXA,Assurance,,-74.2
442,2023-03-06,Compte 2,Banque A,DAB,Retrait,,-122.63
2625,2023-03-07,Compte 2,Banque A,Orange,Internet,,-20.86
2476,2023-03-07,Compte 1,Banque B,H&M,Vêtements,,-90.03
353,2023-03-08,Compte 3,Banque C,Entreprise B,Salaire,,2117.49
2024,2023-03-08,Compte 1,Banque B,Mutuelle,Remboursement,,134.63
2203,2023-03-08,Compte 1,Banque B,Divers,Divers,,-99.31
600,2023-03-08,Compte 3,Banque C,Expedia,Vacances,,-1156.7
133,2023-03-09,Compte 1,Banque B,MAIF,Assurance,,-75.64
996,2023-03-10,Compte 1,Banque B,DAB,Retrait,,-49.98
690,2023-03-11,Compte 2,Banque A,Uniqlo,Vêtements,,-178.69
1950,2023-03-11,Compte 1,Banque B,Banque Postale,Frais bancaires,,-10.33
356,2023-03-11,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-3.28
888,2023-03-12,Compte 2,Banque A,Allianz,Assurance,,-88.3
881,2023-03-13,Compte 3,Banque C,Engie,Logement,,-673.38
756,2023-03-13,Compte 3,Banque C,PEL,Épargne,,457.77
1808,2023-03-13,Compte 1,Banque B,DAB,Retrait,,-289.25
2694,2023-03-14,Compte 3,Banque C,Entreprise A,Salaire,,2310.21
2422,2023-03-14,Compte 2,Banque A,Spotify,Loisir,,-57.03
423,2023-03-14,Compte 3,Banque C,Impôts,Impôts,,-1215.03
363,2023-03-15,Compte 1,Banque B,Divers,Divers,,-37.85
2819,2023-03-15,Compte 1,Banque B,Blablacar,Transport,,-38.57
1147,2023-03-16,Compte 2,Banque A,Free,Internet,,-37.3
662,2023-03-16,Compte 1,Banque B,Entreprise A,Salaire,,2361.07
1508,2023-03-17,Compte 2,Banque A,Loyer,Logement,,-689.37
761,2023-03-17,Compte 1,Banque B,EDF,Logement,,-569.53
1312,2023-03-18,Compte 3,Banque C,Expedia,Vacances,,-1097.55
1891,2023-03-18,Compte 2,Banque A,Bouygues,Téléphone,,-10.72
2085,2023-03-18,Compte 1,Banque B,EDF,Logement,,-868.18
1078,2023-03-19,Compte 1,Banque B,Lidl,Alimentation,,-68.25
2844,2023-03-19,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-5.08
1084,2023-03-19,Compte 2,Banque A,Intermarché,Alimentation,,-176.37
1968,2023-03-20,Compte 1,Banque B,Free,Internet,,-20.16
298,2023-03-20,Compte 1,Banque B,Zara,Vêtements,,-42.96
2252,2023-03-20,Compte 1,Banque B,Lidl,Alimentation,,-190.68
1100,2023-03-20,Compte 3,Banque C,SFR,Téléphone,,-15.69
2516,2023-03-20,Compte 2,Banque A,Hôpital,Santé,,-22.91
2759,2023-03-21,Compte 1,Banque B,Divers,Divers,,-13.47
1187,2023-03-21,Compte 1,Banque B,CPAM,Remboursement,,201.18
1417,2023-03-21,Compte 1,Banque B,DAB,Retrait,,-293.99
2110,2023-03-21,Compte 1,Banque B,DAB,Retrait,,-158.25
1933,2023-03-21,Compte 2,Banque A,DAB,Retrait,,-106.47
